ID,title,description,tag,image,path,genre,mood,distributor,branded-vod,k_means,k_genre,GenreType,Language,Local
68,Abducted: The Mary Stauffer Story ,"Inspired by a true story, teacher and missionary Mary Stauffer and her eight-year-old daughter were held captive by a former student who had become obsessed with her. Starring Alyson Hannigan.","genre:movie,genre:drama,genre:drama/real-life-stories,mood:psychological,mood:suspenseful,mood:dark,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1qN8tFjVypIFAYdp8DQtmJ/11278cd8350bc66f08522e411eafb680/Lifetime_AbductedTheMaryStaufferStory_showtile.png.11278cd8350bc66f08522e411eafb680.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/abducted-the-mary-stauffer-story.html,"movie, drama, real-life-stories","psychological, suspenseful, dark",a-e,lifetime,2,4,Mystery,English,0
69,Happy Face Killer ,"Based on the true story, FBI agent Melinda Gand is brought in to help stop the Happy Face Killer, a murderer who is taunting authorities with disturbing notes and confessions signed with a happy face. Starring David Arquette.","genre:drama/crime-thriller,genre:drama,genre:movie,genre:drama/real-life-stories,mood:psychological,mood:thrilling,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1PAAEElP9qzH1YORd9rily/46e94f9fdd3a5ee9f054ed4b5e5bf544/Lifetime_HappyFaceKiller_showtile_2.png.46e94f9fdd3a5ee9f054ed4b5e5bf544.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/happy-face-killer.html,"crime-thriller, drama, movie, real-life-stories","psychological, thrilling",a-e,lifetime,2,0,Thriller,English,0
70,Dangerous Matrimony ,"Years after a woman was mysteriously thrown overboard and left to die in the Caribbean, her sister  becomes determined to find the killer and bring them to justice.","genre:movie,genre:drama,genre:drama/soap,genre:drama/crime-thriller,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/tgqoUDeISRuxgUbw410oe/16e023eed53270f6c96a3f665afbb898/Lifetime_DangerousMatrimony_showtile.png.16e023eed53270f6c96a3f665afbb898.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/dangerous-matrimony.html,"movie, drama, soap, crime-thriller",diverse,a-e,lifetime,2,0,Thriller,English,0
71,Sleeping with Danger ,"Grace's dream man Paul quickly becomes her nightmare as a jealous rage leads to a brutal attack. Fearing for her life and the safety of other women, Grace works with the police to bring Paul to justice. Inspired by Ann Rule’s true crime collection Mortal Danger and Other True Cases.","genre:drama/crime-thriller,genre:drama,genre:movie,genre:drama/real-life-stories,mood:dark,mood:suspenseful,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/THNNpsj5HJwC56uhdq16M/377798f0aae2bb3e1e16eeb76f5467d7/Lifetime_SleepingWithDanger_showtile_v1.png.377798f0aae2bb3e1e16eeb76f5467d7.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/sleeping-with-danger.html,"crime-thriller, drama, movie, real-life-stories","dark, suspenseful",a-e,lifetime,2,0,Thriller,English,0
72,Bury The Past ,"When a women strikes out at her abusive husband, she fears her story will not be believed as he is a police officer and flees into hiding. But the past isn't always left behind so easily.","genre:movie,genre:drama,mood:dark,mood:suspenseful,mood:thrilling,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2s0Wc5BHSF62Fkb1N56m6M/b1d8954a272f0a48cd9770352853583c/Lifetime_BuryThePast_showtile.png.b1d8954a272f0a48cd9770352853583c.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/bury-the-past.html,"movie, drama","dark, suspenseful, thrilling",a-e,lifetime,2,4,Mystery,English,0
73,Slumdog Millionaire ,"Award-winning film about a street-smart teenager from Mumbai, who is accused of cheating on Who Wants to Be a Millionaire.","genre:drama,genre:movie,genre:closed-captions,mood:bold,mood:thrilling,channel:tv-one,distributor:icon",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6zvgUO8u1LmW0jsQi0D4yO/42d3d1c3628249ef694bc1cbb7a73cfa/SlumdogMillionaire_showtile2__1_.png.42d3d1c3628249ef694bc1cbb7a73cfa.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/slumdog-millionaire.html,"drama, movie, closed-captions","bold, thrilling",icon,,2,2,Real Life Story,English,0
74,Glory ,"When a reclusive Bulgarian railway worker turns in millions in cash he found spilled on the tracks, his life is turned upside down by the chaos of bureaucracy. Bulgarian with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:drama,mood:irreverent,mood:psychological,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5uk3abwIMaGaj5IFuyzpiG/05706223c02f423fe096a9e24a095c29/FilmStream_Glory_showtile-min.png.05706223c02f423fe096a9e24a095c29.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/glory.html,"movie, foreign-language-subtitled, drama","irreverent, psychological",rialto,filmstream,3,1,Drama,Bulgarian,0
75,The Lost Wife Of Robert Durst ,Based on the true story of convicted killer and real estate mogul Robert Durst; pull back the curtain on his twisted world and explore what may have happened between him and his forgotten first wife Kathie.,"genre:drama,genre:movie,mood:psychological,mood:thrilling,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3PTGgbbbulL8LXNtLix9ow/436c031cacec2798e527e964475a0927/The_Lost_Wife_Of_Robert_Durst_showtile.png.436c031cacec2798e527e964475a0927.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-lost-wife-of-robert-durst.html,"drama, movie","psychological, thrilling",a-e,lifetime,2,4,Mystery,English,0
76,The Orator ,"Small in stature and humble, Saili lives a simple life with his beloved wife and daughter in an isolated, traditional village in the islands of Samoa. Forced to protect his land and family, Saili must face his fears and seek the right to speak up for those he loves.","genre:movie,genre:drama,genre:new-zealand,channel:tvnz-online,distributor:transmission",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5HYARDiWOjIuY6gUeOhlhp/c91d811ec251d778c0876062655710aa/TheOrator_showtile.png.c91d811ec251d778c0876062655710aa.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-orator.html,"movie, drama, new-zealand",diverse,transmission,,4,6,Comedy,English,1
77,Ixcanul ,"On the slopes of an active volcano in Guatemala, a marriage is arranged for 17-year-old María by her Kaqchikel parents to a man who is working in the city, a world María knows nothing of. Spanish with English subtitles.","genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:revealing,mood:all-the-feels,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/jHy47gGeeURzlyiCjSA9J/7f8806d0965ba5594b7cc92759728f01/Filmstream_Ixcanul_showtile.png.7f8806d0965ba5594b7cc92759728f01.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/ixcanul.html,"drama, foreign-language-subtitled, movie","revealing, all-the-feels",rialto,filmstream,3,1,Drama,Spanish,0
78,Fresh Meat ,"After a prison breakout goes violently wrong, a dysfunctional gang of criminals hide out in the home of a middle-class Māori family. But they soon realise this particular family have a taste for human flesh... Starring Temuera Morrison and Kate Elliot.","genre:movie,genre:comedy,genre:new-zealand,channel:tvnz-online,distributor:vendetta",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4ZOMghSiheB8mr4WAZCWm9/4c6b132978a61ab730f3a35d5767af91/freshmeat_showtile.png.4c6b132978a61ab730f3a35d5767af91.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/fresh-meat.html,"movie, comedy, new-zealand",diverse,vendetta,,0,6,Comedy,English,1
79,Mood Indigo ,The wealthy and inventive Colin endeavours to find a cure for his lover Chloe after she's diagnosed with an unusual illness caused by a flower growing in her lungs. Starring Audrey Tautou. French with English subtitles.,"genre:drama/comedic,genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:all-the-feels,mood:quirky,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6KvSUcdr7fYCJr7mBglyeC/fe4a5bb9980f6df3857d9c7c2564a910/Filmstream_MoodIndigo_showtile.png.fe4a5bb9980f6df3857d9c7c2564a910.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/mood-indigo.html,"comedic, drama, foreign-language-subtitled, movie","all-the-feels, quirky",rialto,filmstream,4,1,Drama,French,0
80,The Last Diamond ,"A convicted thief on parole is lured back into his old ways, in a plot to steal a famous, priceless diamond. French with English subtitles.","genre:movie,genre:drama/crime-thriller,genre:drama/foreign-language-subtitled,mood:action-packed,mood:suspenseful,mood:lavish,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7Eks6xW9Jp2hNZVvDKgieJ/d1d97a12d5758da1949f1ec2578d6999/Filmstream_The_Last_Diamond_showtile.png.d1d97a12d5758da1949f1ec2578d6999.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-last-diamond.html,"movie, crime-thriller, foreign-language-subtitled","action-packed, suspenseful, lavish",rialto,filmstream,3,5,Action,French,0
81,My Wedding and Other Secrets ,"When Emily Chu falls in love with and secretly marries a European guy, she faces disownment from her traditional Hong Kong-born parents in this funny and heartfelt Kiwi rom-com.","genre:movie,genre:comedy,genre:drama/romance,genre:new-zealand,mood:romantic,mood:all-the-feels,mood:crack-up,channel:tvnz-online,distributor:spp",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7b5iAoWhyur1gJK4srVRcV/0aad49fd30bde38cfc1a3eeb1bfde9c4/My-Wedding-and-Other-Secrets_showtile.png.0aad49fd30bde38cfc1a3eeb1bfde9c4.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/my-wedding-and-other-secrets.html,"movie, comedy, romance, new-zealand","romantic, all-the-feels, crack-up",spp,,1,6,Comedy,English,1
82,Flowers in the Attic ,"Based on the controversial book series, Flowers in the Attic tells the story of the four Dollanganger siblings, held captive and mistreated by their cruel grandmother. Starring Kiernan Shipka and Heather Graham.","genre:movie,genre:drama,genre:drama/romance,genre:drama/crime-thriller,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5wuCnfUXIblALUfbvSfqv5/8308a9e38a64338a1bee46f54860574e/Lifetime_FlowersInTheAttic_showtile.png.8308a9e38a64338a1bee46f54860574e.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/flowers-in-the-attic.html,"movie, drama, romance, crime-thriller",diverse,a-e,lifetime,1,0,Thriller,English,0
83,Whitney ,"Witness the headline-making relationship between the iconic singer, actress, producer and model Whitney Houston and singer and songwriter Bobby Brown as directed by Academy Award® nominee Angela Bassett.","genre:drama,genre:movie,genre:music,mood:all-the-feels,mood:epic,mood:thought-provoking,channel:tvnz-online,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2BUPdTZV32itB0jFYKyonQ/a23da624072a1a40680498037d8524d2/Lifetime_Whitney_showtile.png.a23da624072a1a40680498037d8524d2.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/whitney-movie.html,"drama, movie, music","all-the-feels, epic, thought-provoking",,lifetime,6,3,Romance,English,0
84,P.S. I Love You ,"Gerry is kept alive in the heart of his widowed wife, Holly, when she discovers he's left her a series of messages. Starring Hilary Swank and Gerard Butler.","genre:movie,genre:drama/romance,mood:romantic,mood:all-the-feels,channel:tv2,distributor:studiocanal",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/415b651nOtEROBUdjiT1XP/e9f4a0ccdb9c10c877340b987f404c71/TVNZ2_PS-I-Love-You_showtile.png.e9f4a0ccdb9c10c877340b987f404c71.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/ps-i-love-you.html,"movie, romance","romantic, all-the-feels",studiocanal,,1,3,Romance,English,0
85,Trapped: The Alex Cooper Story ,"Based on the real life of Alex Cooper, whose parents sent her to a conversion therapy home when she was 15 after she revealed she was gay. This is the story of how she orchestrated her escape and made legal history.","genre:movie,genre:drama,genre:drama/real-life-stories,genre:drama/lgbt,mood:thought-provoking,mood:revealing,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/34HSyaOaKx8TBBqQYEFWyP/d15457de028f09a95b43e6079dc04eaa/Trapped_TheAlexCooperStory_showtile.png.d15457de028f09a95b43e6079dc04eaa.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/trapped-the-alex-cooper-story.html,"movie, drama, real-life-stories, lgbt","thought-provoking, revealing",a-e,lifetime,2,2,Real Life Story,English,0
86,Secrets of Eden ,John Stamos stars as a small-town pastor who becomes the prime suspect in a murder case in the drama based on the novel by New York Times best-selling author Chris Bohjalian.,"genre:drama/crime-thriller,genre:drama,genre:movie,genre:drama/soap,mood:mysterious,mood:provocative,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/16AWuY4APxYdytcrJCMWw6/dc78e4148004ac3c2c37a954c5c8c998/Lifetime_SecretsofEden_showtile_v3.png.dc78e4148004ac3c2c37a954c5c8c998.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/secrets-of-eden.html,"crime-thriller, drama, movie, soap","mysterious, provocative",a-e,lifetime,2,0,Thriller,English,0
87,One Last Deal ,An elderly art dealer investigates the history behind an unsigned painting that promises to bring his suffering career to a successful end. Finnish with English subtitles.,"genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:all-the-feels,mood:lavish,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/14syEPlCGKlwbgskT3WZgj/9670a1b89125a14b9b6a50ecd7f14508/OneLastDeal_showtile.png.9670a1b89125a14b9b6a50ecd7f14508.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/one-last-deal.html,"drama, foreign-language-subtitled, movie","all-the-feels, lavish",rialto,filmstream,3,1,Drama,English,0
88,I Am Somebody's Child: The Regina Louise Story ,"The real-life story of Regina Louise, an African American girl who navigated more than 30 foster homes and psychiatric facilities before age 18, and Jeanne, the one woman who believed in her. Starring Ginnifer Goodwin.","genre:drama,genre:drama/strong-female-lead,genre:drama/real-life-stories,genre:movie,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5yjwnyWr5RQ8LSKLvK8L4E/ef89019ca0cb0dbc92f2a72d6e80ae6f/Lifetime_IAmSomebodysChildTheReginaLouiseStory_showtile.png.ef89019ca0cb0dbc92f2a72d6e80ae6f.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/i-am-somebodys-child-the-regina-louise-story.html,"drama, strong-female-lead, real-life-stories, movie",diverse,a-e,lifetime,2,2,Real Life Story,English,0
89,Divergent ,"Based on the bestselling book series, an outcast must face her destiny within a dystopian world divided into factions. Starring Shailene Woodley.","genre:movie,mood:epic,mood:otherworldly,channel:tv2,distributor:lionsgate",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/504kzwpIyBfonvBPys1uw5/0664ef64322024c248b4826301356031/Divergent_showtile.png.0664ef64322024c248b4826301356031.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/divergent.html,movie,"epic, otherworldly",lionsgate,,1,5,Action,English,0
90,Mr Stein Goes Online ,"Pierre, a 75-year-old widower, discovers online dating websites but uses a picture of his granddaughter's boyfriend Alex as his profile picture. When a young woman asks to meet, he sends Alex in his place. French with English subtitles.","genre:comedy,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/romance,mood:witty,mood:romantic,mood:quirky,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2O54H1LGjkMnNBfF13Z9xz/54107d7a5dd88167437fa55f32da4db8/FilmStream_MrSteinGoesOnline_showtile.png.54107d7a5dd88167437fa55f32da4db8.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/mr-stein-goes-online.html,"comedy, foreign-language-subtitled, movie, romance","witty, romantic, quirky",rialto,filmstream,4,1,Drama,French,0
91,Born To Dance ,"Tu Kaea has the chance to audition for K-Crew, the best hip-hop crew in the country, but he has to go behind the backs of his home crew and his best friend Benjy. Starring Stan Walker, Tia-Taharoa Maipi and Parris Goebel.","genre:movie,genre:drama,genre:new-zealand,genre:drama/romance,genre:drama/teen,genre:family,channel:tvnz-online,distributor:vendetta",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/17iG124aAkNuVlz4UhKwVo/912e518dba86de9d05db629f0381ab22/born_to_dance_showtile.jpg.912e518dba86de9d05db629f0381ab22.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/born-to-dance.html,"movie, drama, new-zealand, romance, teen, family",diverse,vendetta,,1,6,Comedy,English,1
92,Ring of Fire ,"Jewel stars as country legend June Carter Cash in this drama about her life, from her beginnings in the rural mountains of Virginia to her turbulent but enduring marriage to Johnny Cash.","genre:drama,genre:movie,genre:music,genre:drama/real-life-stories,genre:drama/romance,genre:drama/strong-female-lead,genre:drama/period_drama,mood:revealing,mood:all-the-feels,mood:epic,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/73hKgTArQlLOfW4G2n4MRn/1ba70b9288f6b9e884a0edf0700bc1ab/RingOfFire_showtile_v2.png.1ba70b9288f6b9e884a0edf0700bc1ab.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/ring-of-fire.html,"drama, movie, music, real-life-stories, romance, strong-female-lead, period","revealing, all-the-feels, epic",a-e,lifetime,3,2,Real Life Story,English,0
93,Catching the Black Widow ,The explosive true story of a cold-hearted murderer brought to justice by her sister-in-law. Made with the support of NZ On Air.,"genre:drama,genre:movie,genre:new-zealand,genre:drama/crime-thriller,genre:drama/strong-female-lead,genre:drama/real-life-stories,genre:sunday-theatre,genre:closed-captions,channel:tv-one,distributor:khf",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/1jsFQtNmbGHT1cZS4nZe1i/f5c71eab6ca98f23720342956963063e/catchingtheblackwidow_showtile.png.f5c71eab6ca98f23720342956963063e.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/catching-the-black-widow.html,"drama, movie, new-zealand, crime-thriller, strong-female-lead, real-life-stories, sunday-theatre, closed-captions",,khf,,6,2,Real Life Story,English,1
94,Toni Braxton: Unbreak My Heart ,"The life story of singer/songwriter and producer, Toni Braxton, from her discovery by mega producers L.A. Reid and Kenneth “Babyface” Edmonds, to her battle with Lupus and her very public divorce.","genre:movie,genre:closed-captions,genre:drama,genre:drama/real-life-stories,mood:revealing,mood:all-the-feels,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2odeODJQ0ZnthABLfQ0EMe/4c57b234a20ae02bf2032e815707518f/Lifetime_ToniBraxtonUnbreakMyHeart_showtile.png.4c57b234a20ae02bf2032e815707518f.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/toni-braxton-unbreak-my-heart.html,"movie, closed-captions, drama, real-life-stories","revealing, all-the-feels",a-e,lifetime,2,2,Real Life Story,English,0
95,Poppy ,"The heartfelt, celebrated story of a spirited young woman, determined to follow her dreams despite her disability. Made with the support of NZ On Air.","genre:movie,genre:new-zealand,genre:closed-captions,mood:cheeky,mood:kiwi-as,mood:all-the-feels,channel:tv-one,distributor:poppy-pictures",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4LBfngIQDvnQpcPDALQ3eq/acb76c528ead4801d22afabf6be27127/Poppy_showtile.png.acb76c528ead4801d22afabf6be27127.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/poppy.html,"movie, new-zealand, closed-captions","cheeky, kiwi-as, all-the-feels",poppy-pictures,,6,6,Comedy,English,1
96,Before We Vanish ,"Three aliens with superior technology, skill and strength arrive and take possession of human bodies, threatening to destroy Earth's population. Japanese with English subtitles.","genre:movie,genre:drama,genre:drama/sci-fi-fantasy,genre:drama/foreign-language-subtitled,mood:mysterious,mood:escapist,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4RlGoQJGEMRWIMhlaLP3ZU/d7d7986232de0b660ec9693bc6fe58aa/Filmstream_Before_We_Vanish_showtile.png.d7d7986232de0b660ec9693bc6fe58aa.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/before-we-vanish.html,"movie, drama, sci-fi-fantasy, foreign-language-subtitled","mysterious, escapist",rialto,filmstream,3,1,Drama,Japanese,0
97,Lady Chatterley's Lover ,"After her husband is injured fighting in World War I, a beautiful young aristocrat embarks on a forbidden affair with a servant. Based on the novel by D. H. Lawrence.","genre:movie,genre:drama/british,genre:drama,genre:drama/romance,genre:drama/period_drama,mood:all-the-feels,mood:lavish,mood:romantic,channel:tvnz-online,distributor:bbc",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3Sd3xoT0OvQM6I9v3Djzzf/8b9d7b6ded7fcd122ab511317edd66c2/LadyChatterleysLover_showtile.png.8b9d7b6ded7fcd122ab511317edd66c2.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/lady-chatterleys-lover.html,"movie, british, drama, romance, period","all-the-feels, lavish, romantic",bbc,,1,3,Romance,English,0
98,Kalo Pothi ,"In a war-torn Nepalese village, Prakash and Kiran, two boys from different castes, bond over their affection for a hen whose eggs they hope to sell to help support Prakash's family. Nepali with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:drama,mood:revealing,mood:thought-provoking,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4S405q2kiGXwPtwhuh1Wf/f0a53bb126e6c582a26c3fea035bb7ab/Filmstream_KaloPothi_showtile.png.f0a53bb126e6c582a26c3fea035bb7ab.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/kalo-pothi.html,"movie, foreign-language-subtitled, drama","revealing, thought-provoking",rialto,filmstream,3,1,Drama,English,0
99,Clash ,A number of detainees from different political and social backgrounds are brought together in the back of a police truck during the turmoil that followed the ousting of Egyptian President Mohamed Morsi in 2013. Arabic with English subtitles.,"genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:psychological,mood:thought-provoking,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/26L14BQ9jOCwKwsyglfLFg/14462663f66b4ce20621a6bf9e07f5a3/FilmStream_Clash_showtile.png.14462663f66b4ce20621a6bf9e07f5a3.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/clash.html,"drama, foreign-language-subtitled, movie","psychological, thought-provoking",rialto,filmstream,3,1,Drama,English,0
100,Fallen Hearts ,"Based on the third novel in V.C. Andrews' Casteel family series. After her wedding, Heaven is lured to live amongst the Tatterton family's wealth and privilege. But the ghosts of her past rise up once more, threatening her new life with scandal.","genre:drama,genre:movie,mood:all-the-feels,mood:mysterious,mood:dark,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2ioqYAObZa8foNavtozjLj/5b5c3c21b66f886149b1dbb475a1dd69/Lifetime_VC_Andrews_Fallen_Hearts_showtile.png.5b5c3c21b66f886149b1dbb475a1dd69.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/fallen-hearts.html,"drama, movie","all-the-feels, mysterious, dark",a-e,lifetime,2,3,Romance,English,0
101,VF48 Hours Film Festival 2021,"NZ's largest guerilla filmmaking competition is back for its 19th year, showcasing some of our best amateur films, all shot within one weekend.","genre:new-zealand,genre:movie,genre:closed-captions,mood:kiwi-as,channel:tv2,distributor:timpson-films",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2jnstghfpwQjQNxBbRaYe2/1f47f70a6238769831bf303558858709/vf48-2021-showtile.png.1f47f70a6238769831bf303558858709.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/vf48-hours-film-festival-2021.html,"new-zealand, movie, closed-captions",kiwi-as,timpson-films,,5,6,Comedy,English,1
102,Jim Henson's Turkey Hollow ,"A family visit their aunt (Mary Steenburgen) in the quaint town of Turkey Hollow, but are quickly drawn into tracking down an elusive monster the locals dismiss as a legend. Narrated by Ludacris.","genre:family,genre:movie,genre:comedy,mood:charming,mood:escapist,mood:feel-good,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2Au2EnQuDQgbtpuJn8d8V9/4b6da201051f6077d80288c5424e3320/TVNZOD_Jim-Henson-s-Turkey-Hollow_showtile.png.4b6da201051f6077d80288c5424e3320.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/jim-hensons-turkey-hollow.html,"family, movie, comedy","charming, escapist, feel-good",a-e,lifetime,4,6,Comedy,English,0
